kind	path (under app/src/main/java/com/forge/app/)	line	decl	name	test_refs	parked
zero	data/repo/AdaptationRepository.kt	331	fun	coachRecommendations	0	False
zero	data/repo/BodyFatRepository.kt	32	fun	latestPercent	0	False
zero	data/repo/BodyweightRepository.kt	31	fun	latestWeightLb	0	False
zero	data/repo/CheckinRepository.kt	47	fun	recentForEngine	0	False
zero	data/repo/CheckinRepository.kt	89	fun	activeRestrictions	0	False
zero	data/repo/CheckinRepository.kt	91	fun	observeActiveRestrictions	0	False
zero	data/repo/CheckinRepository.kt	93	fun	restrictMuscle	0	False
zero	data/repo/CheckinRepository.kt	103	fun	restrictExercise	0	False
zero	data/repo/CheckinRepository.kt	114	fun	clearRestriction	0	False
zero	data/repo/CoachGoalRepository.kt	70	fun	reorder	0	False
zero	data/repo/CoachGoalRepository.kt	88	fun	harvestCompleted	0	False
zero	data/repo/CoachGoalRepository.kt	98	fun	promotionCandidates	0	False
zero	data/repo/CoachGoalRepository.kt	127	val	SOURCE_COACH	0	False
zero	data/repo/ConditioningRepository.kt	59	fun	weekSummary	0	True
zero	data/repo/ConditioningRepository.kt	64	fun	plannedWeek	0	True
zero	data/repo/ConditioningRepository.kt	89	fun	baseTrend	0	True
zero	data/repo/CustomizationRepository.kt	126	fun	setDayName	0	False
zero	data/repo/CustomizationRepository.kt	130	fun	clearDayName	0	False
zero	data/repo/DirectiveRepository.kt	32	val	workoutRepository	0	False
zero	data/repo/LeanMassRepository.kt	27	fun	latestLb	0	False
zero	data/repo/NotificationFeed.kt	313	val	unreadCount	0	False
zero	data/repo/NotificationFeed.kt	317	val	academyUnreadCount	0	False
zero	data/repo/ProgramCustomizationRepository.kt	197	fun	restoreExercise	0	False
zero	data/repo/ProgramCustomizationRepository.kt	204	fun	addCustomExercise	0	False
zero	data/repo/ProgramCustomizationRepository.kt	224	fun	resetDay	0	False
zero	data/repo/ProjectRepository.kt	97	fun	dueForReview	0	False
zero	data/repo/RestDayRepository.kt	10	fun	markRestDay	0	False
zero	data/repo/RestDayRepository.kt	12	fun	clearRestDay	0	False
zero	data/repo/StatsEffortAggregations.kt	37	fun	buildAvgRpePerSession	0	False
zero	data/repo/StatsEffortAggregations.kt	47	fun	buildEffortDistribution	0	False
